id,name,level,summary,Industries_Served
scandiweb,scandiweb,Silver,The largest Adobe Commerce Certified team globally.  scandiweb is the only eCommerce agency happy to be your Plan B,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
brainvire+infotech+inc,Brainvire Infotech Inc,Gold,"Award winning Digital Transformation agency, specialized in Adobe Commerce. Helping multiple brands and startups to launch or revamp their eCommerce journey. Serving B2B and B2C customers worldwide for their custom commerce operation needs.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
publicis+sapient,Publicis Sapient,Platinum,TOGETHER WE TAKE DIGITAL EXPERIENCES INTO TOMORROW,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
corra,Corra,Platinum,"Corra, a Publicis Sapient Company,  is the global commerce leader brands and B2B organizations trust to deliver comprehensive digital solutions that convert and retain customers in the long term.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail""]"
atwix,Atwix,Bronze,"eCommerce Vision. Delivered. Atwix helps businesses of every size transform eCommerce goals into reality. Our expertise includes strategic, tactical, and operational skill sets.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
valtech,Valtech,Platinum,Valtech is the experience innovation company.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
epam+systems,EPAM Systems,Platinum,About EPAM Systems,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
binary+anvil,Binary Anvil,Silver,"EXPERIENCED, DEDICATED & READY TO GO","[""B2B High Tech"", ""Consumer Packaged Goods"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Retail""]"
krish+technolabs,Krish TechnoLabs,Silver,"Established in 2003, Krish is an award winning full-service digital commerce agency that help brands to innovate, evolve and thrive at digital commerce.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
ziffity+solutions+llc,Ziffity Solutions LLC,Silver,"Ziffity is a full-service eCommerce agency focused on helping B2B and B2C brands overcome their challenges and achieve their aspirations with Adobe’s eCommerce, digital experience and marketing technology capabilities.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Retail"", ""Travel & Hospitality""]"
omni.pro,OMNI.PRO,Gold,"Because innovation waits for no one, we grab technology head on to ensure we overcome whatever curve ball it may throw. We may not have control on where the future will go but we have control on how we face it. ","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail""]"
247+commerce+limited,247 Commerce Limited,Bronze,"We are a full-service eCommerce agency, powering online growth through the development of user-centric, technically-advanced websites, supported by strong UX/UI design,  strategic marketing and consultancy, as well as powerful  API integrations.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Manufacturing & Distribution"", ""Non-Profit"", ""Retail"", ""Travel & Hospitality""]"
webjump,WEBJUMP,Platinum,WEBJUMP is the leading Adobe Partner providing agile development teams through AI,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
fpt+software+company+limited,FPT Software Company Limited,Gold,"With more than 20 years of experience, we have helped a wide range of clients to achieve digital transformation by enhancing customer experiences, boosting operational excellence and innovating business models.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
blue+acorn+ici,Blue Acorn iCi,Platinum,Blue Acorn iCi  x Infosys,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail""]"
merkle,Merkle,Platinum,"Merkle is a leading technology-enabled, data-driven customer experience management (CXM) company. Capabilities include customer strategy, performance media, CX and personalization, CRM, loyalty marketing and enterprise technology services.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
rave+digital,Rave Digital,Bronze,"Rave Digital is a top-rated Magento Certified, Silver Partner focused on Open Source, M2 Commerce and Commerce Cloud solutions.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Retail""]"
perficient,Perficient,Platinum,Leading digital change. Driving real results.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
i95dev,i95Dev,Bronze,"i95Dev is a global eCommerce agency helping brands from Retail, Manufacturing and Wholesale Distribution build robust, scalable, and efficient eCommerce solutions.","[""Automotive"", ""Consumer Packaged Goods"", ""Education"", ""Manufacturing & Distribution"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
kensium,Kensium,Bronze,We specialize in creating scalable and integrated ecommerce solutions.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Manufacturing & Distribution"", ""Other (HR / IT / Legal / etc.)"", ""Retail""]"
dotcomweavers,DotcomWeavers,Gold,We specialize in commerce transformation through a deep understanding of clients’ business models to create customized digital solutions.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Manufacturing & Distribution"", ""Retail""]"
silk+commerce,Silk Commerce,Silver,Digital Agency for B2B and Global Brands,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
born+group,BORN Group,Platinum,"Connecting creative, content and commerce to transform brands and grow businesses. BORN is an award-winning global digital & content production agency.","[""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Retail""]"
elogic+commerce,Elogic Commerce,Bronze,Elogic is an Adobe Commerce focused partner agency. We transform retail brands into e-commerce leaders by creating unique digital commerce experiences with the help of cutting edge technologies and the leading industry expertise.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
rightpoint,Rightpoint,Platinum,"Rightpoint is a Total Experience company. We drive growth by delivering experiences that transform how people, technology, and businesses interact.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
absolute+web,Absolute Web,Bronze,"Established in 1999, Absolute Web is am Adobe Commerce (Magento) Partner, with offices in Miami (Florida) and Los Angeles (California), helping B2C and B2B companies achieve their eCommerce goals.","[""B2B High Tech"", ""Consumer Packaged Goods"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
o2+web,O2 Web,Silver,"Adobe Digital Experience Emerging Solution Partner of the Year, O2Web's team of experts helps you go beyond your goals and focus on your customers.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Retail"", ""Travel & Hospitality""]"
mrm,MRM,Platinum,"MRM, part of McCann Worldgroup, is a customer experience agency made up of a diverse collection of people focused on creativity, performance and technology. We provide technology driven marketing solutions to Fortune 100 companies.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
tata+consultancy+services+%28tcs%29,Tata Consultancy Services (TCS),Platinum,"Tata Consultancy Services is an IT services, consulting and business solutions organization that delivers real results to global business, ensuring a level of certainty no other firm can match","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
wolf+sellers,Wolf Sellers,Gold,"We specialize in B2B, B2C, MarketPlaces and Tailor-made eCommerce solutions.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
infosys+ltd,Infosys Ltd,Platinum,Infosys is a global leader in technology services and consulting enabling client in more than 50 countries to create and execute strategies for their digital transformation that help clients stay a step ahead of emerging business trends.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
crimson+agility,Crimson Agility,Gold,Crimson Agility is an Adobe Commerce partner dedicated to helping our clients achieve positive outcomes and grow their businesses.,"[""Automotive"", ""B2B High Tech"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Non-Profit"", ""Retail""]"
bounteous,Bounteous,Gold,Bounteous creates big-picture digital solutions that help leading companies deliver transformational brand experiences.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
williams+commerce,Williams Commerce,Silver,"Williams Commerce is a full-service digital agency specialising in Digital Transformation, Ecommerce Development, Digital Marketing, Systems Integration, multi-channel Growth Consultancy and Ecommerce Support.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Manufacturing & Distribution"", ""Other (HR / IT / Legal / etc.)"", ""Retail""]"
northern+commerce,Northern Commerce,Bronze,Northern Commerce provides integrated digital solutions for brands aspiring to excel through digital transformation.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
ranosys+technologies,Ranosys Technologies,Bronze,"Ranosys is an CMMI Level 3 Global Digital Consulting Company headquartered in Singapore with international footprints in the UK, US, Middle East and APAC regions. Ranosys is trusted by B2C brands and B2B organizations to accelerate their digital growth.","[""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Retail"", ""Travel & Hospitality""]"
itg+commerce,ITG Commerce,Bronze,PWA's. MarketPlaces. We are Pioneers of E-Commerce.,"[""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Non-Profit"", ""Retail"", ""Travel & Hospitality""]"
human+element+inc.,Human Element Inc.,Bronze,"Human Element is more than just our name, it’s our philosophy, and we incorporate it into everything we do. We put people at the heart of our processes.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Retail""]"
iwd+agency,IWD Agency,Bronze,"IWD is an eCommerce agency specializing in Magento website development, Magento support, graphic design & digital marketing.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Retail"", ""Travel & Hospitality""]"
iovista%2C+inc.,"ioVista, Inc.",Bronze,"Since 2004 - ioVista has helped B2B and B2C brands transition to a digital-first world by creating high-functioning user interfaces and experiences. From brand and marketing strategy to site design and functionality, ioVista clients get results.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
above+the+fray+design%2C+inc.,"Above The Fray Design, Inc.",Silver,"Above The Fray is a true end-to-end ecommerce agency specializing in consulting, designing, building, integrating, and evolving digital commerce for growth-ready manufacturers.","[""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Other (HR / IT / Legal / etc.)"", ""Retail""]"
reply,Reply,Platinum,"Reply is a group that specialises in consulting, technologies and digital services with a focus on the conception, design and development of solutions based on new communication channels and digital media.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
gomage,GOMAGE,Bronze,Most merchants refer to us as the eCommerce development agency. But looking at the number of stalled Magento & PWA projects we have turned around after other developers – you could think of us as the 'last agency stop' to take over your website project.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
profstep,ProfStep,Bronze,ProfStep is on a mission of delivering high-quality solutions for the Magento and Adobe Commerce Cloud applications. We have boots on the ground in both the US and Ukraine and will provide an enterprise level of support for a wide variety of organizations,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
hero+digital,Hero Digital,Gold,"We are Hero, a new kind of Customer Experience company.  Born at the intersection of business, design, and technology, we create experiences of Truth & Beauty to have a positive impact on people—and on the businesses that serve them.","[""B2B High Tech"", ""Financial Services / Insurance"", ""Retail"", ""Travel & Hospitality""]"
eguana+commerce,Eguana Commerce,Bronze,"Eguana Commerce is a trusted eCommerce solutions development, support & maintenance agency with an expert understanding of eCommerce business. With more than 10 years of eCommerce experiences, we are a leading solution partner in Korea and abroad.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
findcanary,FindCanary,Bronze,A team of e-commerce experts that design and develop solutions that allow you to not only find but celebrate success,"[""Automotive"", ""Consumer Packaged Goods"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail""]"
swiftotter%2C+inc.,"SwiftOtter, Inc.",Bronze,"SwiftOtter is a agency focused on delivering high-quality solutions for the Magento and Adobe Commerce Cloud applications. We are certified professionals. We are accessible. As a result, we have many happy merchants.","[""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Retail""]"
classy+llama,Classy Llama,Bronze,A digital commerce agency passionate about helping merchants grow and build their business.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Retail""]"
magenest,Magenest,Bronze,"Magenest is an Adobe Bronze Solution Partner and an one-stop technology solution agency. We deliver an interconnected system of eCommerce, ERP, Customer frontline and Cloud hosting solutions.","[""Automotive"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
credera,Credera,Platinum,"Credera, a global consulting firm, combines transformational consulting capabilities, deep industry knowledge, and AI and technology expertise to deliver valuable customer experiences and accelerated growth across a broad range of industries worldwide.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
concentrix+catalyst,Concentrix Catalyst,Gold,We accelerate CX transformation at scale,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
accorin+%28wasserman+digital+as+of+02-15-23%29,Accorin (Wasserman Digital as of 02-15-23),Bronze,"Accorin - Wasserman Digital  is a digital commerce agency with deep experience designing, building, and integrating Adobe - Magento e-commerce solutions.  We have a team spanning 10 time zones many of whom are Certified Adobe-Magento Professionals.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail""]"
guidance,Guidance,Silver,"For over 25 years, Guidance has designed, developed & delivered award-winning ecommerce solutions for our clients.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
accenture,Accenture,Platinum,Unleashing purposeful connections,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
vaimo,Vaimo,Gold,"One of the world’s most respected experts on delivering solutions on Adobe Commerce, Adobe Experience Manager, Adobe Target, Adobe Campaign and Adobe Analytics . Local presence in 15+ markets in the Americas and EMEA.  B2B, B2C, D2C & Marketplace.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
magebit,Magebit,Bronze,Global digital commerce agency. Trusted by Fortune 500 companies.,"[""Automotive"", ""Consumer Packaged Goods"", ""Other (HR / IT / Legal / etc.)"", ""Retail""]"
encora+holdings+llc,Encora Holdings LLC,Bronze,"We help you define your strategic innovation roadmap, build capabilities to accelerate your pace, fast track your development process, and maximize market adoption.","[""Other (HR / IT / Legal / etc.)""]"
pwc,PwC,Platinum,"Trust is the currency of modern B2C and B2B customer experiences. PwC helps companies deliver trust with our Business, eXperience, and Technology (BXT) approach to digital and marketing transformations.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
deloitte+digital,Deloitte Digital,Platinum,"Collaborating from insight to impact, Deloitte Digital and Adobe are delivering dynamic solutions that drive sales and inspire user loyalty with each interaction.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
beijing+shinetech+china+software+inc.,Beijing Shinetech China Software Inc.,Bronze,"With 520+ collaborative agile developers in 25 offices over 6 countries, you can reach a consistent service partner by working with an office near you.",[]
diconium+digital+solutions+gmbh,diconium digital solutions GmbH,Gold,"As a strong partner, diconium accompanies its customers through the entire digitization process: from Innovation & Strategy, UX, Data & AI, Commerce and Technology to the creation of digital units.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail""]"
embitel+technologies+pvt.+ltd.,Embitel Technologies Pvt. Ltd.,Silver,"Embitel is a full-service CXM and E-commerce solutions development, support & maintenance company, based in Bangalore, India.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
datasolution,DATASOLUTION,Silver,"Founded in 2003, DATASOLUTION is a leading partner in digital transformation. With 300 experts in eCommerce, PIM/MDM, design and digital innovation, DATASOLUTION will support companies in all digital challenges.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
overdose,Overdose,Silver,"We deliver full service solutions, from Strategy & Design, through Development & Optimisation and Search & Marketing. We have a robust Data & Analytics practice, and we are Adobe Gold Partners specialising in Magento Commerce.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom""]"
ibm,IBM,Platinum,Let IBM reimagine your business and deliver the customer experiences of the future—with speed and at scale.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
rltsquare,RLTSquare,Bronze,RLTSquare is your one-stop Magento development shop.  We are a team of 75+ Magento enthusiasts who have gathered to produce a sum that is larger than the whole of the parts!  We are on our path to emerge as a globally recognized Magento Solution Partner.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
viha+digital+commerce+private+limited,Viha Digital Commerce Private Limited,Bronze,Viha Digital Commerce is a most trusted Magento Store Development having 8+ years of Work Experience.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Other (HR / IT / Legal / etc.)"", ""Retail""]"
visionet+systems,Visionet Systems,Bronze,"A full services global technology consulting partner with specialization in CPG, Retail, and eCommerce, Wholesale, Supply Chain and Distribution, Fashion and Apparel,  and consumer lending practices.","[""Retail""]"
commerce+pundit,COMMERCE PUNDIT,Bronze,"Commerce Pundit is a Web Service Agency specializing in Design & Development, eCommerce Solutions, Inbound Marketing and Marketplace Management located in Atlanta, Georgia.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Other (HR / IT / Legal / etc.)"", ""Retail""]"
terrific+minds,Terrific Minds,Bronze,Solution Partners with a Global Clientele,"[""Consumer Packaged Goods"", ""Education"", ""Healthcare & Life Sciences"", ""Media, Entertainment & Telecom"", ""Retail""]"
121ecommerce+llc,121eCommerce LLC,Bronze,eCommerce expertise you can trust,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
